Installation,Count
MCB Lejeune,16
MCB Pendleton,15
MC Hawaii,9
MCAS Yuma,5
MCB Quantico,5
Camp Elmore,4
MCAS Cherry Point,3
MCAS Iwakuni,3
MCAS Miramar,3
MCRD PI,3
MCAS New River,2
MCLB Barstow,2
Garden City,1
MBW (8th & I),1
MCAGCC 29 Palms,1
MCB Butler,1
